# Recognizer: Recognizer -- Evaluation: kl_divergence_norm_softmax 

# ** Blocks Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.93	0.82	0.90	0.86
0.3	0.95	0.90	0.90	0.90
0.5	1.00	1.00	1.00	1.00
0.7	1.00	1.00	1.00	1.00
1.0	1.00	1.00	1.00	1.00
Avg	0.97	0.94	0.96	0.95

# ** Hanoi Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.93	0.77	1.00	0.87
0.3	0.93	0.82	0.90	0.86
0.5	0.97	0.91	1.00	0.95
0.7	0.95	0.83	1.00	0.91
1.0	0.97	0.91	1.00	0.95
Avg	0.95	0.84	0.98	0.91

# ** SkGrid Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.88	0.73	0.80	0.76
0.3	0.95	0.90	0.90	0.90
0.5	0.90	0.80	0.80	0.80
0.7	0.95	0.90	0.90	0.90
1.0	1.00	1.00	1.00	1.00
Avg	0.94	0.86	0.88	0.87
# Recognizer: Recognizer -- Evaluation: divergence_point 

# ** Blocks Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.25	0.25	1.00	0.40
0.3	0.25	0.25	1.00	0.40
0.5	0.25	0.25	1.00	0.40
0.7	0.25	0.25	1.00	0.40
1.0	0.25	0.25	1.00	0.40
Avg	0.25	0.25	1.00	0.40

# ** Hanoi Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.25	0.25	1.00	0.40
0.3	0.25	0.25	1.00	0.40
0.5	0.25	0.25	1.00	0.40
0.7	0.25	0.25	1.00	0.40
1.0	0.25	0.25	1.00	0.40
Avg	0.25	0.25	1.00	0.40

# ** SkGrid Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.25	0.25	1.00	0.40
0.3	0.25	0.25	1.00	0.40
0.5	0.25	0.25	1.00	0.40
0.7	0.25	0.25	1.00	0.40
1.0	0.25	0.25	1.00	0.40
Avg	0.25	0.25	1.00	0.40
# Recognizer: Recognizer -- Evaluation: soft_divergence_point 

# ** Blocks Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.93	0.77	1.00	0.87
0.3	0.97	0.91	1.00	0.95
0.5	0.97	0.91	1.00	0.95
0.7	0.97	0.91	1.00	0.95
1.0	0.97	0.91	1.00	0.95
Avg	0.96	0.88	1.00	0.93

# ** Hanoi Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.90	0.71	1.00	0.83
0.3	0.93	0.77	1.00	0.87
0.5	0.93	0.77	1.00	0.87
0.7	0.93	0.77	1.00	0.87
1.0	0.95	0.83	1.00	0.91
Avg	0.93	0.77	1.00	0.87

# ** SkGrid Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.60	0.38	1.00	0.56
0.3	0.65	0.42	1.00	0.59
0.5	0.70	0.45	1.00	0.62
0.7	0.75	0.50	1.00	0.67
1.0	0.80	0.56	1.00	0.71
Avg	0.70	0.45	1.00	0.62
# Recognizer: Recognizer -- Evaluation: trajectory_q_value 

# ** Blocks Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.93	0.82	0.90	0.86
0.3	1.00	1.00	1.00	1.00
0.5	1.00	1.00	1.00	1.00
0.7	1.00	1.00	1.00	1.00
1.0	1.00	1.00	1.00	1.00
Avg	0.98	0.96	0.98	0.97

# ** Hanoi Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.88	0.69	0.90	0.78
0.3	0.95	0.83	1.00	0.91
0.5	0.95	0.83	1.00	0.91
0.7	0.95	0.83	1.00	0.91
1.0	0.97	0.91	1.00	0.95
Avg	0.94	0.82	0.98	0.89

# ** SkGrid Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.75	0.50	0.60	0.55
0.3	0.78	0.55	0.60	0.57
0.5	0.65	0.30	0.30	0.30
0.7	0.65	0.30	0.30	0.30
1.0	0.62	0.27	0.30	0.29
Avg	0.69	0.39	0.42	0.40
# Recognizer: StateQmaxRecognizer -- Evaluation: evaluate_goal 

# ** Blocks Results ** 
#OBS	 Acc	 Prec	 Rec	 F-S
0.1	0.85	0.64	0.90	0.75
0.3	0.88	0.73	0.80	0.76
0.5	0.95	0.90	0.90	0.90
0.7	1.00	1.00	1.00	1.00
1.0	1.00	1.00	1.00	1.00
